counter ; t (in s) ; lat0 (in decimal degrees) ; long0 (in decimal degrees) ; roll (in rad) ; pitch (in rad) ; yaw (in rad) ; winddir (in rad) ; windspeed (in m/s) ; filteredwinddir (in rad) ; filteredwindspeed (in m/s) ; heading (in rad) ; theta (in rad) ; psi (in rad) ; latitude (in decimal degrees) ; longitude (in decimal degrees) ; x (in m) ; y (in m) ; ax (in m) ; ay (in m) ; bx (in m) ; by (in m) ; CurWP ; wpslat[CurWP] (in decimal degrees) ; wpslong[CurWP] (in decimal degrees) ; e (in m) ; norm_ma (in m) ; norm_bm (in m) ; state ; deltag (in rad) ; deltavmax (in rad) ; phi+gammabar (in rad) ; gps time (in s) ;
1 ; 1560345946 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 48.33804204 ; -4.687038715 ; -4183.79538162 ; 6305.97993274 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345947 ;
2 ; 1560345947 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.468660665818 ; 0 ; 48.3380328683 ; -4.68700494667 ; -4181.3001441 ; 6304.96008993 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345948 ;
3 ; 1560345948 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.482454372712 ; 0 ; 48.3380223983 ; -4.68697198667 ; -4178.86476017 ; 6303.79587905 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345949 ;
4 ; 1560345949 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.492069555589 ; 0 ; 48.33801165 ; -4.68693945 ; -4176.46068878 ; 6302.60071892 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345950 ;
5 ; 1560345950 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.466942621537 ; 0 ; 48.3380004767 ; -4.686907185 ; -4174.07673146 ; 6301.35830094 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345951 ;
6 ; 1560345951 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.418544842072 ; 0 ; 48.3379889283 ; -4.68687490333 ; -4171.69157186 ; 6300.07418486 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345952 ;
7 ; 1560345952 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.341686202355 ; 0 ; 48.3379785533 ; -4.686841145 ; -4169.19716712 ; 6298.92053749 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345953 ;
8 ; 1560345953 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.265085412331 ; 0 ; 48.3379693717 ; -4.686806545 ; -4166.64045186 ; 6297.89958274 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345954 ;
9 ; 1560345954 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.264829708405 ; 0 ; 48.3379614483 ; -4.68677119 ; -4164.02782692 ; 6297.01854827 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345955 ;
10 ; 1560345955 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.274170590707 ; 0 ; 48.3379548633 ; -4.68673558 ; -4161.39624353 ; 6296.28632968 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345956 ;
11 ; 1560345956 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.261130405732 ; 0 ; 48.3379484383 ; -4.68669965667 ; -4158.74148631 ; 6295.57190228 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345957 ;
12 ; 1560345957 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.20038755066 ; 0 ; 48.3379417883 ; -4.68666267333 ; -4156.0083966 ; 6294.83245602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345958 ;
13 ; 1560345958 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.16093404419 ; 0 ; 48.3379357367 ; -4.68662386167 ; -4153.1401157 ; 6294.15954138 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345959 ;
14 ; 1560345959 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.178328229256 ; 0 ; 48.33793097 ; -4.68658428333 ; -4150.21506115 ; 6293.62951223 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345960 ;
15 ; 1560345960 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.27739341385 ; 0 ; 48.3379276133 ; -4.686546305 ; -4147.40815578 ; 6293.25626793 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345961 ;
16 ; 1560345961 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.4122058881 ; 0 ; 48.337923695 ; -4.68651001 ; -4144.72571973 ; 6292.82056914 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345962 ;
17 ; 1560345962 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.559778047868 ; 0 ; 48.337917325 ; -4.68647806 ; -4142.36464437 ; 6292.11225746 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345963 ;
18 ; 1560345963 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.680324865647 ; 0 ; 48.3379095817 ; -4.68645087667 ; -4140.3560095 ; 6291.25123808 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345964 ;
19 ; 1560345964 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.662323786088 ; 0 ; 48.337899295 ; -4.68642507 ; -4138.44933721 ; 6290.10741293 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345965 ;
20 ; 1560345965 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.528003526994 ; 0 ; 48.3378868567 ; -4.6863976 ; -4136.41989292 ; 6288.72433337 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345966 ;
21 ; 1560345966 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.309256030389 ; 0 ; 48.3378750683 ; -4.68636857167 ; -4134.27521018 ; 6287.41353051 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345967 ;
22 ; 1560345967 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.114999843903 ; 0 ; 48.337865045 ; -4.68633808 ; -4132.02222058 ; 6286.2989867 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345968 ;
23 ; 1560345968 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.024411989518 ; 0 ; 48.3378579367 ; -4.686308085 ; -4129.80570526 ; 6285.50857609 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345969 ;
24 ; 1560345969 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0388699305733 ; 0 ; 48.337853815 ; -4.68628026 ; -4127.74934387 ; 6285.05026767 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345970 ;
25 ; 1560345970 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0993711484154 ; 0 ; 48.337851415 ; -4.686251215 ; -4125.60266606 ; 6284.78339985 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345971 ;
26 ; 1560345971 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.124352051087 ; 0 ; 48.337849875 ; -4.68621931833 ; -4123.24513647 ; 6284.61215966 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345972 ;
27 ; 1560345972 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.125767422982 ; 0 ; 48.3378490667 ; -4.68618641 ; -4120.81276987 ; 6284.52227709 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345973 ;
28 ; 1560345973 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.147467447587 ; 0 ; 48.3378473 ; -4.686154435 ; -4118.44946829 ; 6284.32583272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345974 ;
29 ; 1560345974 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.202376200028 ; 0 ; 48.3378444317 ; -4.686123815 ; -4116.18641085 ; 6284.00688861 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345975 ;
30 ; 1560345975 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.259154869386 ; 0 ; 48.3378406617 ; -4.68609216167 ; -4113.84704668 ; 6283.58768373 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345976 ;
31 ; 1560345976 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.270682407685 ; 0 ; 48.337836325 ; -4.68605951 ; -4111.43393565 ; 6283.1054684 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345977 ;
32 ; 1560345977 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.208352400132 ; 0 ; 48.3378316283 ; -4.68602607167 ; -4108.96270644 ; 6282.5832229 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345978 ;
33 ; 1560345978 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.140910221406 ; 0 ; 48.3378266783 ; -4.68599289667 ; -4106.51096158 ; 6282.03280801 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345979 ;
34 ; 1560345979 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.143230749436 ; 0 ; 48.3378225317 ; -4.68596028667 ; -4104.10091378 ; 6281.57171971 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345980 ;
35 ; 1560345980 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.17165942318 ; 0 ; 48.3378190267 ; -4.68592733 ; -4101.66518995 ; 6281.1819815 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345981 ;
36 ; 1560345981 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.200180126496 ; 0 ; 48.337816595 ; -4.68589436 ; -4099.22839394 ; 6280.9115925 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345982 ;
37 ; 1560345982 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.240040136643 ; 0 ; 48.337813305 ; -4.685861905 ; -4096.82973312 ; 6280.54576119 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345983 ;
38 ; 1560345983 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.334914995499 ; 0 ; 48.3378096083 ; -4.685830975 ; -4094.54382569 ; 6280.13471061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345984 ;
39 ; 1560345984 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.389908505746 ; 0 ; 48.337805 ; -4.68580054667 ; -4092.29507203 ; 6279.62228732 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345985 ;
40 ; 1560345985 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.346662594147 ; 0 ; 48.3377986283 ; -4.68576918333 ; -4089.97734848 ; 6278.91379032 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345986 ;
41 ; 1560345986 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.268972469636 ; 0 ; 48.337792435 ; -4.68573661833 ; -4087.57078831 ; 6278.22512307 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345987 ;
42 ; 1560345987 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.11494834549 ; 0 ; 48.3377856217 ; -4.685703605 ; -4085.13113846 ; 6277.46751497 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345988 ;
43 ; 1560345988 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0213027728279 ; 0 ; 48.3377804883 ; -4.68567081667 ; -4082.7079844 ; 6276.89671435 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345989 ;
44 ; 1560345989 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00609009139938 ; 0 ; 48.33777765 ; -4.68563866833 ; -4080.33195208 ; 6276.58110608 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345990 ;
45 ; 1560345990 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.00741596347885 ; 0 ; 48.33777734 ; -4.685607665 ; -4078.04035048 ; 6276.54663565 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345991 ;
46 ; 1560345991 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0474067462166 ; 0 ; 48.3377782317 ; -4.68557669167 ; -4075.75087026 ; 6276.64578446 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345992 ;
47 ; 1560345992 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0652642977913 ; 0 ; 48.3377794583 ; -4.68554417833 ; -4073.3475335 ; 6276.78218357 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345993 ;
48 ; 1560345993 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0572988522728 ; 0 ; 48.33778036 ; -4.68551089333 ; -4070.8871847 ; 6276.88244433 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345994 ;
49 ; 1560345994 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0574249757011 ; 0 ; 48.3377802733 ; -4.68547842167 ; -4068.48703279 ; 6276.87280744 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345995 ;
50 ; 1560345996 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0674016011436 ; 0 ; 48.3377798117 ; -4.68544719333 ; -4066.17881235 ; 6276.82147245 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345996 ;
51 ; 1560345997 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0863134396751 ; 0 ; 48.3377788567 ; -4.68541571333 ; -4063.85202914 ; 6276.71528129 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345997 ;
52 ; 1560345998 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.119582487412 ; 0 ; 48.3377778033 ; -4.68538357333 ; -4061.47646945 ; 6276.59815597 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345998 ;
53 ; 1560345999 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.163976503678 ; 0 ; 48.33777657 ; -4.68535067 ; -4059.04450185 ; 6276.46101556 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560345999 ;
54 ; 1560346000 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.201588822671 ; 0 ; 48.337774845 ; -4.68531792833 ; -4056.62452291 ; 6276.26920431 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346000 ;
55 ; 1560346001 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.218782974549 ; 0 ; 48.337772535 ; -4.685285485 ; -4054.2266418 ; 6276.01234403 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346001 ;
56 ; 1560346002 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.238370610543 ; 0 ; 48.33776939 ; -4.68525351667 ; -4051.86393668 ; 6275.66263599 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346002 ;
57 ; 1560346003 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.226307941743 ; 0 ; 48.33776568 ; -4.685220185 ; -4049.40050469 ; 6275.25010281 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346003 ;
58 ; 1560346004 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.197459293671 ; 0 ; 48.3377624467 ; -4.68518530167 ; -4046.82234228 ; 6274.89057255 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346004 ;
59 ; 1560346005 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.11678917534 ; 0 ; 48.33775947 ; -4.68515135833 ; -4044.31363975 ; 6274.55958231 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346005 ;
60 ; 1560346006 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0358806384285 ; 0 ; 48.3377572117 ; -4.68511928167 ; -4041.94285561 ; 6274.30846711 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346006 ;
61 ; 1560346007 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0296612513741 ; 0 ; 48.337756605 ; -4.68508729167 ; -4039.5783464 ; 6274.24100885 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346007 ;
62 ; 1560346008 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0576214326103 ; 0 ; 48.3377569917 ; -4.68505398833 ; -4037.11668276 ; 6274.28400422 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346008 ;
63 ; 1560346009 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0556085837563 ; 0 ; 48.3377574283 ; -4.68502026333 ; -4034.62384749 ; 6274.33255934 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346009 ;
64 ; 1560346010 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0191971791466 ; 0 ; 48.337757855 ; -4.684987255 ; -4032.18398584 ; 6274.38000251 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346010 ;
65 ; 1560346011 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.0305152667244 ; 0 ; 48.33775821 ; -4.68495579667 ; -4029.85869894 ; 6274.41947671 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346011 ;
66 ; 1560346012 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.110214783021 ; 0 ; 48.3377588583 ; -4.68492406833 ; -4027.51343171 ; 6274.49156808 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346012 ;
67 ; 1560346013 ; 48.281331 ; -4.630436 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.200692249604 ; 0 ; 48.3377593483 ; -4.68489101167 ; -4025.0699926 ; 6274.5460536 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1560346013 ;
