(x, y, cap, sonde, angle_sonde)
(0, 0, 0, 2.86, 79.9875)
(3.328479554263124, 2.064944545785612, 1.9828181170321402, 2.86, 81.95625)
(3.3280067234569097, 2.0711809594406874, 1.980116782089229, 2.853333, 83.925)
(3.3280067234569097, 2.0711809594406874, 1.980116782089229, 2.853333, 85.89375)
(3.3280067234569097, 2.0711809594406874, 1.980116782089229, 2.853333, 87.8625)
(3.3280067234569097, 2.0711809594406874, 1.980116782089229, 2.853333, 91.8)
(3.3280067234569097, 2.0711809594406874, 1.980116782089229, 2.853333, 95.7375)
(3.3263298641556087, 2.075715149157669, 1.9890206563741257, -1.0, 99.675)
(3.3263298641556087, 2.075715149157669, 1.9890206563741257, 2.86, 97.9875)
(3.3263298641556087, 2.075715149157669, 1.9890206563741257, 2.853333, 94.05)
(3.3263298641556087, 2.075715149157669, 1.9890206563741257, 2.853333, 90.1125)
(3.3263298641556087, 2.075715149157669, 1.9890206563741257, 2.853333, 88.14375)
(3.3263298641556087, 2.075715149157669, 1.9890206563741257, 2.853333, 86.175)
(3.322171002887182, 2.0834400007502536, 1.9855532638900992, 2.86, 82.2375)
(3.322171002887182, 2.0834400007502536, 1.9855532638900992, 2.88, 80.26875)
(3.322171002887182, 2.0834400007502536, 1.9855532638900992, 2.886667, 79.9875)
(3.322171002887182, 2.0834400007502536, 1.9855532638900992, 2.88, 80.26875)
(3.322171002887182, 2.0834400007502536, 1.9855532638900992, 2.866667, 82.2375)
(3.318929587011085, 2.092512174444726, 1.9828181170321402, 2.853333, 88.14375)
(3.318929587011085, 2.092512174444726, 1.9828181170321402, 2.86, 94.05)
(3.318929587011085, 2.092512174444726, 1.9828181170321402, 2.86, 96.01875)
(3.318929587011085, 2.092512174444726, 1.9828181170321402, 2.866667, 97.9875)
(3.318929587011085, 2.092512174444726, 1.9828181170321402, 2.94, 99.95625)
(3.3186023413570793, 2.095942011141275, 1.9979859334095051, 2.866667, 97.9875)
(3.3186023413570793, 2.095942011141275, 1.9979859334095051, 2.853333, 94.05)
(3.3186023413570793, 2.095942011141275, 1.9979859334095051, 2.853333, 88.14375)
(3.3186023413570793, 2.095942011141275, 1.9979859334095051, 2.853333, 84.20625)
(3.310988526058143, 2.112935779944087, 2.004150175876928, 2.86, 80.26875)
(3.310988526058143, 2.112935779944087, 2.004150175876928, 2.866667, 79.9875)
(3.310988526058143, 2.112935779944087, 2.004150175876928, 2.866667, 80.26875)
(3.310988526058143, 2.112935779944087, 2.004150175876928, 2.853333, 86.175)
(3.310988526058143, 2.112935779944087, 2.004150175876928, 2.853333, 90.1125)
(3.310988526058143, 2.112935779944087, 2.004150175876928, 2.853333, 92.08125)
(3.305051186256364, 2.1216400930316843, 2.007011794577354, 2.86, 94.05)
(3.305051186256364, 2.1216400930316843, 2.007011794577354, 2.88, 97.9875)
(3.305051186256364, 2.1216400930316843, 2.007011794577354, 2.88, 97.9875)
(3.305051186256364, 2.1216400930316843, 2.007011794577354, 2.86, 94.05)
(3.308989888722255, 2.1216028384184424, 2.0131705497716417, 2.853333, 90.1125)
(3.308989888722255, 2.1216028384184424, 2.0131705497716417, 2.853333, 86.175)
